deployment_level,mach,cd
0.0,0.3,0.4183
0.0,0.6,0.404
0.0,0.9,0.4417
0.0,1.2,0.6428
0.0,1.5,0.5814
0.1923,0.3,0.431062
0.1923,0.6,0.415659
0.1923,0.9,0.447214
0.1923,1.2,0.668735
0.1923,1.5,0.606268
0.3846,0.3,0.474286
0.3846,0.6,0.461187
0.3846,0.9,0.488865
0.3846,1.2,0.715871
0.3846,1.5,0.646049
0.5769,0.3,0.532713
0.5769,0.6,0.51096
0.5769,0.9,0.534042
0.5769,1.2,0.768373
0.5769,1.5,0.691874
0.7692,0.3,0.579801
0.7692,0.6,0.575966
0.7692,0.9,0.591049
0.7692,1.2,0.830204
0.7692,1.5,0.740729
1.0,0.3,0.637457
1.0,0.6,0.639613
1.0,0.9,0.642983
1.0,1.2,0.903681
1.0,1.5,0.790452
